,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_decision_function_shape,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
43,0.05525636672973633,0.005616218117749873,0.013140439987182617,0.00034958710649291035,0.1,ovr,5,auto,sigmoid,"{'C': 0.1, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.41304347826086957,0.45161290322580644,0.4464285714285714,0.48484848484848486,0.4081632653061225,0.44081934061397093,0.028015880461556116,203
27,0.05474057197570801,0.006370543231864062,0.013061332702636718,0.0003596309956740705,0.1,ovo,20,auto,sigmoid,"{'C': 0.1, 'decision_function_shape': 'ovo', 'degree': 20, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.41304347826086957,0.45161290322580644,0.4464285714285714,0.48484848484848486,0.4081632653061225,0.44081934061397093,0.028015880461556116,203
51,0.05426936149597168,0.005865987759309478,0.013067674636840821,0.0004444072021150679,0.1,ovr,10,auto,sigmoid,"{'C': 0.1, 'decision_function_shape': 'ovr', 'degree': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.41304347826086957,0.45161290322580644,0.4464285714285714,0.48484848484848486,0.4081632653061225,0.44081934061397093,0.028015880461556116,203
35,0.054512405395507814,0.006671042302985988,0.013128185272216797,0.0004972600596464769,0.1,ovr,3,auto,sigmoid,"{'C': 0.1, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.41304347826086957,0.45161290322580644,0.4464285714285714,0.48484848484848486,0.4081632653061225,0.44081934061397093,0.028015880461556116,203
3,0.05411028861999512,0.005960610069404119,0.013010168075561523,0.0004471683836773433,0.1,ovo,3,auto,sigmoid,"{'C': 0.1, 'decision_function_shape': 'ovo', 'degree': 3, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.41304347826086957,0.45161290322580644,0.4464285714285714,0.48484848484848486,0.4081632653061225,0.44081934061397093,0.028015880461556116,203
11,0.054376649856567386,0.006851480403180544,0.013192319869995117,0.0006012354922099276,0.1,ovo,5,auto,sigmoid,"{'C': 0.1, 'decision_function_shape': 'ovo', 'degree': 5, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.41304347826086957,0.45161290322580644,0.4464285714285714,0.48484848484848486,0.4081632653061225,0.44081934061397093,0.028015880461556116,203
19,0.05380887985229492,0.005962190262625652,0.012931728363037109,0.0004129755730267357,0.1,ovo,10,auto,sigmoid,"{'C': 0.1, 'decision_function_shape': 'ovo', 'degree': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.41304347826086957,0.45161290322580644,0.4464285714285714,0.48484848484848486,0.4081632653061225,0.44081934061397093,0.028015880461556116,203
307,0.05062499046325684,0.00667829651098316,0.012224578857421875,0.0007354982100432411,50,ovr,10,auto,sigmoid,"{'C': 50, 'decision_function_shape': 'ovr', 'degree': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.4042553191489362,0.4123711340206186,0.4347826086956521,0.47058823529411764,0.37113402061855666,0.4186262635555763,0.03305219455064657,211
243,0.049713659286499026,0.0071330220081231915,0.011786270141601562,0.0003151139459112279,10,ovr,10,auto,sigmoid,"{'C': 10, 'decision_function_shape': 'ovr', 'degree': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.4042553191489362,0.4123711340206186,0.4347826086956521,0.47058823529411764,0.37113402061855666,0.4186262635555763,0.03305219455064657,211
299,0.04900450706481933,0.006741169332186012,0.011514663696289062,0.00032539798810859717,50,ovr,5,auto,sigmoid,"{'C': 50, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.4042553191489362,0.4123711340206186,0.4347826086956521,0.47058823529411764,0.37113402061855666,0.4186262635555763,0.03305219455064657,211
227,0.05074601173400879,0.007044296940517603,0.012354612350463867,0.000505676869714055,10,ovr,3,auto,sigmoid,"{'C': 10, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.4042553191489362,0.4123711340206186,0.4347826086956521,0.47058823529411764,0.37113402061855666,0.4186262635555763,0.03305219455064657,211
275,0.04884624481201172,0.0068619197066288225,0.011450099945068359,0.000275891790508493,50,ovo,10,auto,sigmoid,"{'C': 50, 'decision_function_shape': 'ovo', 'degree': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.4042553191489362,0.4123711340206186,0.4347826086956521,0.47058823529411764,0.37113402061855666,0.4186262635555763,0.03305219455064657,211
267,0.049028444290161136,0.007037728056942237,0.011528444290161134,0.00032201362290539985,50,ovo,5,auto,sigmoid,"{'C': 50, 'decision_function_shape': 'ovo', 'degree': 5, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.4042553191489362,0.4123711340206186,0.4347826086956521,0.47058823529411764,0.37113402061855666,0.4186262635555763,0.03305219455064657,211
235,0.048810720443725586,0.006873218720211042,0.01145310401916504,0.0002724192594362971,10,ovr,5,auto,sigmoid,"{'C': 10, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.4042553191489362,0.4123711340206186,0.4347826086956521,0.47058823529411764,0.37113402061855666,0.4186262635555763,0.03305219455064657,211
251,0.04882721900939942,0.0068009810711561905,0.011461830139160157,0.000284531876834494,10,ovr,20,auto,sigmoid,"{'C': 10, 'decision_function_shape': 'ovr', 'degree': 20, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.4042553191489362,0.4123711340206186,0.4347826086956521,0.47058823529411764,0.37113402061855666,0.4186262635555763,0.03305219455064657,211
