strain_slug,strain_category,strain_popularity
remedy,Indica,0.0300308171085992
tangerine-haze,Hybrid,0.0150664485282554
alice-in-wonderland,Sativa,0.0052916037863383
venom-og,Hybrid,0.1125748701239581
haze-wreck,Sativa,0.001630520249075
digweed,Indica,0.0012663431376065
barbara-bud,Indica,0.0020940183909441
haoma,Indica,0.0
sugar-plum,Sativa,0.0041907956993993
rockstar,Indica,0.0485762606183837
rene,Hybrid,0.0011780577772505
dogwalker-og,Hybrid,0.0474119974286888
aurora-indica,Indica,0.0136345703399814
brains-damage,Indica,0.0027396050885474
super-snow-dog,Sativa,0.007661513928395
plushberry,Indica,0.0141091041518949
orange-haze,Hybrid,0.0118081669476164
tres-dawg,Hybrid,0.0120537106061065
lapd,Hybrid,0.0005710959248029
white-lightning,Hybrid,0.0122551115844187
